time x y azimuth
0.00 1.50 0.07 2.86
0.10 2.99 0.22 5.73
0.20 4.47 0.45 8.59
0.30 5.94 0.75 11.46
0.40 7.40 1.12 14.32
0.50 8.83 1.56 17.19
0.60 10.25 2.03 18.23
0.70 11.68 2.50 18.23
0.80 13.10 2.97 18.23
0.90 14.53 3.44 18.23
1.00 15.95 3.91 18.23
1.10 17.38 4.38 18.23
1.20 18.80 4.85 18.23
1.30 20.23 5.31 18.23
1.40 21.65 5.78 18.23
1.50 23.08 6.25 18.23
1.60 24.50 6.72 18.23
1.70 25.93 7.19 18.23
1.80 27.35 7.66 18.23
1.90 28.78 8.13 18.23
2.00 30.20 8.60 18.23
2.10 31.63 9.07 18.23
2.20 33.05 9.54 18.23
2.30 34.48 10.01 18.23
2.40 35.90 10.48 18.23
2.50 37.32 10.94 18.23
2.60 38.75 11.41 18.23
2.70 40.17 11.88 18.23
2.80 41.60 12.35 18.23
2.90 43.02 12.82 18.23
3.00 44.45 13.29 18.23
3.10 45.87 13.76 18.23
3.20 47.30 14.23 18.23
3.30 48.72 14.70 18.23
3.40 50.15 15.17 18.23
3.50 51.57 15.64 18.23
3.60 53.00 16.11 18.23
3.70 54.42 16.58 18.23
3.80 55.85 17.04 18.23
3.90 57.27 17.51 18.23
4.00 58.70 17.98 18.23
4.10 60.12 18.45 18.23
4.20 61.55 18.92 18.23
4.30 62.97 19.39 18.23
4.40 64.39 19.86 18.23
4.50 65.82 20.33 18.23
4.60 67.24 20.80 18.23
4.70 68.67 21.27 18.23
4.80 70.09 21.74 18.23
4.90 71.52 22.21 18.23
5.00 72.94 22.67 18.23
5.10 74.37 23.14 18.23
5.20 75.79 23.61 18.23
5.30 77.22 24.08 18.23
5.40 78.64 24.55 18.23
5.50 80.07 25.02 18.23
5.60 81.49 25.49 18.23
5.70 82.92 25.96 18.23
5.80 84.34 26.43 18.23
6.00 87.31 27.18 25.02
6.10 88.68 27.78 22.16
6.20 90.09 28.32 19.29
6.30 91.52 28.78 16.43
6.40 92.96 29.16 13.56
6.50 94.43 29.48 10.70
6.60 95.91 29.72 7.83
6.70 97.40 29.89 4.97
6.80 98.90 29.98 2.10
6.90 100.40 30.00 359.24
7.00 101.90 29.94 356.38
7.10 103.39 29.81 353.51
7.20 104.88 29.60 350.65
7.30 106.35 29.32 347.78
7.40 107.81 28.97 344.92
7.50 109.24 28.54 342.05
7.60 110.66 28.04 339.19
7.70 112.05 27.47 336.32
7.80 113.41 26.84 333.46
7.90 114.73 26.13 330.59
8.00 116.02 25.37 327.73
8.10 117.27 24.53 324.86
8.20 118.47 23.64 322.00
8.30 119.63 22.69 319.13
8.40 120.74 21.68 316.27
8.50 121.80 20.61 313.40
8.60 122.80 19.50 310.54
8.70 123.75 18.33 307.67
8.80 124.63 17.13 304.81
8.90 125.46 15.87 301.94
9.00 126.22 14.58 299.08
9.10 126.91 13.25 296.21
9.20 127.54 11.89 293.35
9.30 128.10 10.50 290.49
9.40 128.59 9.08 287.62
9.50 129.01 7.64 284.76
9.60 129.36 6.18 281.89
9.70 129.63 4.71 279.03
9.80 129.83 3.22 276.16
9.90 129.95 1.73 273.30
10.00 130.00 0.23 270.43
10.10 129.97 -1.27 267.57
10.20 129.87 -2.77 264.70
10.30 129.70 -4.26 261.84
10.40 129.45 -5.74 258.97
10.50 129.12 -7.20 256.11
10.60 128.73 -8.65 253.24
10.70 128.26 -10.07 250.38
10.80 127.72 -11.47 247.51
10.90 127.11 -12.85 244.65
11.00 126.44 -14.18 241.78
11.10 125.69 -15.49 238.92
11.20 124.89 -16.75 236.05
11.30 124.02 -17.98 233.19
11.40 123.09 -19.15 230.32
11.50 122.10 -20.28 227.46
11.60 121.06 -21.36 224.59
11.70 119.97 -22.39 221.73
11.80 118.82 -23.36 218.87
11.90 117.63 -24.27 216.00
12.00 116.40 -25.12 213.14
12.10 115.12 -25.91 210.27
12.20 113.81 -26.63 207.41
12.30 112.46 -27.29 204.54
12.40 111.08 -27.88 201.68
12.50 109.67 -28.40 198.81
12.60 108.24 -28.85 195.95
12.70 106.79 -29.22 193.08
