time x y azimuth
12.80 105.32 -29.52 190.22
12.90 103.84 -29.75 187.35
13.00 102.35 -29.91 184.49
13.10 100.85 -29.99 181.62
13.20 99.35 -29.99 178.76
13.30 97.85 -29.92 175.89
13.40 96.36 -29.78 173.03
13.50 94.88 -29.56 170.16
13.60 93.40 -29.27 167.30
13.70 91.95 -28.90 164.43
13.80 90.52 -28.46 161.57
13.90 89.10 -27.95 158.70
14.00 87.72 -27.37 155.84
14.10 86.37 -26.72 152.98
14.20 85.05 -26.01 150.11
14.30 83.77 -25.23 147.25
14.40 82.53 -24.39 144.38
14.50 81.33 -23.48 141.52
14.60 80.18 -22.52 138.65
14.70 79.08 -21.50 135.79
14.80 78.03 -20.43 132.92
14.90 77.04 -19.31 130.06
15.00 76.10 -18.13 127.19
15.10 75.23 -16.92 124.33
15.20 74.41 -15.66 121.46
15.30 73.66 -14.36 118.60
15.40 72.98 -13.03 115.73
15.50 72.36 -11.66 112.87
15.60 71.81 -10.26 110.00
15.70 71.33 -8.84 107.14
15.80 70.93 -7.40 104.27
15.90 70.59 -5.93 101.41
16.00 70.33 -4.46 98.54
16.10 70.15 -2.97 95.68
16.20 70.04 -1.47 92.81
16.30 70.00 0.03 89.95
16.40 70.04 1.53 87.09
16.50 70.15 3.02 84.22
16.60 70.34 4.51 81.36
16.70 70.60 5.99 78.49
16.80 70.94 7.45 75.63
16.90 71.35 8.89 72.76
17.00 71.83 10.31 69.90
17.10 72.38 11.71 67.03
17.20 73.00 13.07 64.17
17.30 73.69 14.41 61.30
17.40 74.44 15.70 58.44
17.50 75.25 16.96 55.57
17.60 76.13 18.18 52.71
17.70 77.07 19.35 49.84
17.80 78.07 20.47 46.98
17.90 79.12 21.54 44.11
18.00 80.22 22.56 41.25
18.10 81.37 23.52 38.38
18.20 82.57 24.42 35.52
18.30 83.81 25.26 32.65
18.40 85.10 26.04 29.79
18.50 86.42 26.75 26.92
18.60 87.77 27.39 24.06
18.70 89.15 27.97 21.19
18.80 90.57 28.48 18.33
18.90 92.00 28.91 15.47
19.00 93.46 29.28 12.60
19.10 94.93 29.57 9.74
19.20 96.41 29.78 6.87
19.30 97.90 29.93 4.01
19.40 99.40 29.99 1.14
19.50 100.90 29.99 -1.72
19.60 102.40 29.90 -4.59
19.70 103.89 29.75 -7.45
19.80 105.37 29.51 -10.32
19.90 106.84 29.21 -13.18
20.00 108.29 28.83 -16.05
20.10 109.72 28.38 -18.91
20.20 111.13 27.86 -21.78
20.30 112.51 27.27 -24.64
20.40 113.86 26.61 -27.51
20.50 115.17 25.88 -30.37
20.60 116.44 25.09 -33.24
20.70 117.68 24.24 -36.10
20.80 118.87 23.33 -38.97
20.90 120.01 22.35 -41.83
21.00 121.10 21.33 -44.70
21.10 122.14 20.24 -47.56
21.20 123.12 19.11 -50.42
21.30 124.05 17.93 -53.29
21.40 124.92 16.71 -56.15
21.50 125.72 15.44 -59.02
21.60 126.46 14.14 -61.88
21.70 127.13 12.80 -64.75
21.80 127.74 11.43 -67.61
21.90 128.28 10.02 -70.48
22.00 128.74 8.60 -73.34
22.10 129.14 7.15 -76.21
22.20 129.46 5.69 -79.07
22.30 129.70 4.21 -81.94
22.40 129.88 2.72 -84.80
22.50 129.98 1.22 -87.67
22.60 130.00 -0.28 -90.53
22.70 129.95 -1.78 -93.40
22.80 129.82 -3.27 -96.26
22.90 129.62 -4.76 -99.13
23.00 129.35 -6.23 -101.99
23.10 129.00 -7.69 -104.86
23.20 128.58 -9.13 -107.72
23.30 128.08 -10.55 -110.59
23.40 127.52 -11.94 -113.45
23.50 126.89 -13.30 -116.31
23.60 126.19 -14.63 -119.18
23.70 125.43 -15.92 -122.04
23.80 124.60 -17.17 -124.91
23.90 123.71 -18.38 -127.77
24.00 122.76 -19.54 -130.64
24.10 121.76 -20.65 -133.50
24.20 120.70 -21.71 -136.37
24.30 119.59 -22.72 -139.23
24.40 118.43 -23.67 -142.10
24.50 117.22 -24.56 -144.96
24.60 115.97 -25.39 -147.83
24.70 114.68 -26.16 -150.69
24.80 113.36 -26.86 -153.56
24.90 112.00 -27.50 -156.42
25.00 110.61 -28.06 -159.29
25.10 109.20 -28.56 -162.15
25.20 107.76 -28.98 -165.02
25.30 106.30 -29.33 -167.88
25.40 104.82 -29.61 -170.75
25.50 103.34 -29.81 -173.61
25.60 101.84 -29.94 -176.48
25.70 100.35 -30.00 -179.34
25.80 98.85 -29.98 -182.21
25.90 97.35 -29.88 -185.07
26.00 95.86 -29.71 -187.93
26.10 94.38 -29.47 -190.80
26.20 92.91 -29.15 -193.66
26.30 91.46 -28.76 -196.53
26.40 90.04 -28.30 -199.39
26.50 88.64 -27.76 -202.26
26.60 87.26 -27.16 -205.12
26.70 85.92 -26.49 -207.99
26.80 84.61 -25.75 -210.85
26.90 83.35 -24.95 -213.72
27.00 82.12 -24.09 -216.58
27.10 80.94 -23.17 -219.45
27.20 79.80 -22.18 -222.31
27.30 78.72 -21.15 -225.18
27.40 77.69 -20.06 -228.04
27.50 76.72 -18.92 -230.91
27.60 75.80 -17.73 -233.77
27.70 74.94 -16.50 -236.64
27.80 74.15 -15.23 -239.50
27.90 73.42 -13.91 -242.37
28.00 72.76 -12.57 -245.23
28.10 72.17 -11.19 -248.10
28.20 71.64 -9.79 -250.96
28.30 71.19 -8.36 -253.82
28.40 70.81 -6.91 -256.69
28.50 70.50 -5.44 -259.55
28.60 70.26 -3.96 -262.42
28.70 70.10 -2.47 -265.28
28.80 70.02 -0.97 -268.15
28.90 70.00 0.53 -271.01
29.00 70.07 2.03 -273.88
29.10 70.21 3.52 -276.74
29.20 70.42 5.01 -279.61
29.30 70.71 6.48 -282.47
29.40 71.07 7.94 -285.34
29.50 71.50 9.37 -288.20
29.60 72.01 10.78 -291.07
29.70 72.58 12.17 -293.93
29.80 73.22 13.52 -296.80
29.90 73.93 14.85 -299.66
30.00 74.71 16.13 -302.53
30.10 75.54 17.37 -305.39
30.20 76.44 18.58 -308.26
30.30 77.40 19.73 -311.12
30.40 78.41 20.83 -313.99
30.50 79.48 21.89 -316.85
30.60 80.60 22.89 -319.71
30.70 81.77 23.83 -322.58
30.80 82.98 24.71 -325.44
30.90 84.24 25.53 -328.31
31.00 85.54 26.28 -331.17
31.10 86.87 26.97 -334.04
31.20 88.23 27.60 -336.90
31.30 89.63 28.15 -339.77
31.40 91.05 28.63 -342.63
31.50 92.49 29.04 -345.50
31.60 93.95 29.38 -348.36
31.70 95.42 29.65 -351.23
31.80 96.91 29.84 -354.09
31.90 98.41 29.96 -356.96
32.00 99.91 30.00 -359.82
32.10 101.41 29.97 -2.69
32.20 102.90 29.86 -5.55
32.30 104.39 29.68 -8.42
32.40 105.87 29.42 -11.28
32.50 107.33 29.09 -14.15
32.60 108.78 28.69 -17.01
32.70 110.20 28.21 -19.88
32.80 111.60 27.67 -22.74
32.90 112.96 27.05 -25.61
33.00 114.30 26.37 -28.47
33.10 115.60 25.62 -31.33
33.20 116.86 24.81 -34.20
33.30 118.08 23.94 -37.06
33.40 119.26 23.01 -39.93
33.50 120.38 22.01 -42.79
33.60 121.46 20.97 -45.66
33.70 122.48 19.87 -48.52
33.80 123.44 18.72 -51.39
33.90 124.35 17.53 -54.25
34.00 125.19 16.29 -57.12
34.10 125.98 15.01 -59.98
34.20 126.69 13.69 -62.85
34.30 127.34 12.34 -65.71
34.40 127.93 10.96 -68.58
34.50 128.44 9.55 -71.44
34.60 128.88 8.11 -74.31
34.70 129.25 6.66 -77.17
34.80 129.55 5.19 -80.04
34.90 129.77 3.71 -82.90
